"Производитель 
(Название 
На русском/английском языке, 
или ID) ","Страна происхождения товара 
(2-х буквенный код)","Бренд
(Название 
На русском/английском языке, 
или ID) ","Серия
(Название 
На русском/английском языке, 
или ID) ",Артикул производителя,Наш артикул,Наименование,Штрихкод(ы),Категория (название категории, или ID),"Категория
(Название подкатегории, или ID, или несколько названий/ID через запятую )","Масса нетто
(число+килограмм)","Масса брутто
(число+килограмм)","Длина 
Упаковки
(число+см)","Ширина упаковки
(число+см)","Высота 
Упаковки
(число+см)","Цена 
(число+руб)","Фото 
(ссылка)","Цена 
Под заказ (руб)",,
BIBI,CH,BIBI,Бутылочки BIBI,01.330.40,,БИБИ Бутылочка 250мл стекл.,с/с ортодон. д/мол.,ДИНО/БЕЛЫЙ МЕДВЕДЬ,,637,,1,1,1,1,1,,,369,20
BIBI,CH,BIBI,Бутылочки BIBI,01.552-40,,БИБИ Бутылочка 250мл шир.горл. с/с 3.2.1 рег.пот. МАМА/Пастель,,637,,1,1,1,1,1,,,378,30,,
BIBI,CH,BIBI,Бутылочки BIBI,01.553-40,,БИБИ Бутылочка 250мл шир.горл. с/с 3.2.1 рег.пот. ПАПА/Пастель  СКИДКА!!!,,637,,1,1,1,1,1,,,378,30,,
BIBI,CH,BIBI,Бутылочки BIBI,01.567-40,,БИБИ Бутылочка 250мл шир.горл. с/с 3.2.1 рег.пот./Растем вместе/,,637,,1,1,1,1,1,,,384,80,,
BIBI,CH,BIBI,Бутылочки BIBI,105213/01.534-40,,БИБИ Бутылочка 250мл шир.горл. с/с 3.2.1 рег.пот./Сезонная коллекция/,,637,,1,1,1,1,1,,,466,97,,
BIBI,CH,BIBI,Бутылочки BIBI,01.630.01-40,,БИБИ Бутылочка 350мл спортивная шир.горл. /Растем вместе/ тв/уп №1,,637,,1,1,1,1,1,,,556,40,,
BIBI,CH,BIBI,Бутылочки BIBI,105215/01.634-40,,БИБИ Бутылочка 350мл шир.горл. с/с 3.2.1 рег.пот./Сезонная коллекция/,,637,,1,1,1,1,1,,,526,12,,
BIBI,CH,BIBI,Бутылочки BIBI,03.803.90-40,,БИБИ Ручки для бутылочки с широким горлышком тв/уп №2,,637,,1,1,1,1,1,,,230,10,,
BIBI,CH,BIBI,Наборы BIBI,02.907-40,,БИБИ Набор подарочный Дикий Запад/Фантазия с/с  12 мес. тв/уп №1,,637,,1,1,1,1,1,,,497,90,,
BIBI,CH,BIBI,Посуда BIBI,105221/04.571-40,,БИБИ Ложка для кормления  SENSOLINE N2,,637,,1,1,1,1,1,,,205,40,,
BIBI,CH,BIBI,Посуда BIBI,103584/04.570-40,,БИБИ Ложка для кормления тв/уп №2,,637,,1,1,1,1,1,,,208,0,,
BIBI,CH,BIBI,Посуда BIBI,04.576-40,,БИБИ Столовые приборы д/дет. SENSOLINE  ложка+вилка,,637,,1,1,1,1,1,,,210,60,,
BIBI,CH,BIBI,Посуда BIBI,04.897-40,,БИБИ Тарелочка SENSOLINE с двумя отделен. и ложкой,,637,,1,1,1,1,1,,,555,10,,
BIBI,CH,BIBI,Посуда BIBI,105218/04.896-40,,БИБИ Тарелочка SENSOLINE с паров.клап. с ложкой,вилкой,,637,,1,1,1,1,1,,,555,10,
BIBI,CH,BIBI,Пустышки BIBI,05.077.02-36,,БИБИ Пустышка силик.ортодон. дневная Водолей, с 1-го  дня тв/уп №1,,637,,1,1,1,1,1,,,189,80,
